127.0.0.1 - - [29/Jun/2017:21:35:45 -0300] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:33 -0300] "GET /ssa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/ HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/login.css.xhtml?ln=css HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 33092
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25001
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.css.xhtml?ln=components HTTP/1.1" 200 99662
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.min.js.xhtml?ln=components HTTP/1.1" 200 93723
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.js.xhtml?ln=components HTTP/1.1" 200 27922
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/login.js.xhtml?ln=js HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/login/logo.png.xhtml?ln=images HTTP/1.1" 200 2729
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:34 -0300] "GET /ssa/javax.faces.resource/images/login/bg.png.xhtml HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:35 -0300] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "POST /ssa/login.xhtml HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/dashboard.xhtml HTTP/1.1" 200 12366
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.css.xhtml?ln=components HTTP/1.1" 200 99662
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/bootstrap-switch/bootstrap-switch.min.css.xhtml?ln=components HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25001
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/iCheck/skins/flat/_all.css.xhtml?ln=components HTTP/1.1" 200 13063
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/animate.css/animate.min.css.xhtml?ln=components HTTP/1.1" 200 53659
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/themes.css.xhtml?ln=css HTTP/1.1" 200 22247
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/DataTables/media/css/jquery.dataTables.min.css.xhtml?ln=components HTTP/1.1" 200 15375
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:36:40 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
